No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
962,鹿嵐山,かならせやま,,,,758,33.43472222,131.2527778,大分県,阿蘇・くじゅうとその周辺,
963,鶴見岳,つるみだけ,,,,1375,33.28666667,131.4297222,大分県,阿蘇・くじゅうとその周辺,
964,由布岳,ゆふだけ,,,,1583,33.28222222,131.3902778,大分県,阿蘇・くじゅうとその周辺,日本二百名山
965,万年山,はねやま,,,,1140,33.23138889,131.1305556,大分県,阿蘇・くじゅうとその周辺,
966,涌蓋山,わいたざん,,,,1500,33.14,131.1644444,大分県,阿蘇・くじゅうとその周辺,
967,中岳,なかだけ,,,九重,1791,33.08583333,131.2488889,大分県,阿蘇・くじゅうとその周辺,日本百名山
968,黒岳,くろだけ,,,九重,1587,33.10555556,131.2927778,大分県,阿蘇・くじゅうとその周辺,
969,大船山,たいせんざん,,,九重,1786,33.095,131.2805556,大分県,阿蘇・くじゅうとその周辺,
970,三俣山,みまたやま,,,九重,1744,33.10388889,131.2463889,大分県,阿蘇・くじゅうとその周辺,
971,星生山,ほっしょうざん,,,九重,1762,33.09083333,131.2325,大分県,阿蘇・くじゅうとその周辺,☓
972,久住山,くじゅうさん,,,九重,1787,33.08222222,131.2408333,大分県,阿蘇・くじゅうとその周辺,☓
973,高岳,たかだけ,,,阿蘇山,1592,32.88444444,131.1038889,熊本県,阿蘇・くじゅうとその周辺,日本百名山
974,根子岳,ねこだけ,,,阿蘇山,1433,32.88361111,131.1444444,熊本県,阿蘇・くじゅうとその周辺,
975,中岳,なかだけ,,,阿蘇山,1506,32.88361111,131.0969444,熊本県,阿蘇・くじゅうとその周辺,☓
976,杵島岳,きしまだけ,,,阿蘇山,1326,32.8925,131.0580556,熊本県,阿蘇・くじゅうとその周辺,
977,烏帽子岳,えぼしだけ,,,阿蘇山,1337,32.87361111,131.0580556,熊本県,阿蘇・くじゅうとその周辺,
978,鷹取山,たかとりやま,,,,802,33.30305556,130.7227778,福岡県,阿蘇・くじゅうとその周辺,
979,釈迦岳,しゃかだけ,,,,1231,33.1875,130.8891667,大分県,阿蘇・くじゅうとその周辺,
